,Department,Name,Price,Reviews
0,Amazon Devices & Accessories,Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls) | Dolby…,$49.99,"666,696"
1,Amazon Devices & Accessories,Fire TV Stick (3rd Gen) with Alexa Voice Remote (includes TV controls) | HD streaming device,$39.99,"26,923"
2,Amazon Devices & Accessories,Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,$34.99,"879,422"
3,Amazon Devices & Accessories,Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls) | HD streaming device,$29.99,"174,105"
4,Amazon Devices & Accessories,"Fire 7 Kids Tablet, 7"" Display, ages 3-7, 16 GB, Blue Kid-Proof Case",$59.99,"185,020"
5,Amazon Devices & Accessories,Insignia NS-32DF310NA19 32-inch Smart HD TV - Fire TV,$129.99,"40,017"
6,Amazon Devices & Accessories,Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,$59.99 - $84.94,"90,916"
7,Amazon Devices & Accessories,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",$49.99,"299,626"
8,Amazon Devices & Accessories,"Amazon Smart Plug, works with Alexa – A Certified for Humans Device",$24.99,"435,267"
9,Amazon Devices & Accessories,Ring Rechargeable Battery Pack,$29.99,"70,899"
10,Amazon Devices & Accessories,"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, night vision,…",$34.99 - $84.99,"116,173"
11,Amazon Devices & Accessories,Ring Chime,$29.99,"39,639"
12,Amazon Devices & Accessories,Alexa Voice Remote (2nd Gen) with power and volume controls – requires compatible Fire…,$29.99,"29,018"
13,Amazon Devices & Accessories,"Ring Video Doorbell – newest generation, 2020 release – 1080p HD video, improved motion…",$99.99 - $179.98,"54,030"
14,Amazon Devices & Accessories,"Ring Video Doorbell – newest generation, 2020 release – 1080p HD video, improved motion…",$99.99,"54,030"
15,Amazon Devices & Accessories,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, Blue Kid-Proof Case",$89.99,"87,478"
16,Amazon Devices & Accessories,"Fire 7 Kids Tablet, 7"" Display, ages 3-7, 16 GB, Pink Kid-Proof Case",$59.99,"185,020"
17,Amazon Devices & Accessories,Introducing Ring Video Doorbell Wired with Ring Chime,$59.99 - $139.98,"12,374"
18,Amazon Devices & Accessories,Kindle Paperwhite – Now Waterproof with 2x the Storage – Ad-Supported,$129.99,"114,012"
19,Amazon Devices & Accessories,"Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa…",$59.99,"51,276"
20,Amazon Devices & Accessories,"Fire 7 tablet, 7"" display, 16 GB, latest model (2019 release), Black",$49.99,"197,667"
21,Amazon Devices & Accessories,"Fire 7 Kids Tablet, 7"" Display, ages 3-7, 16 GB, Purple Kid-Proof Case",$59.99,"185,020"
22,Amazon Devices & Accessories,"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup,…",$99.99 - $284.97,"33,725"
23,Amazon Devices & Accessories,Echo Dot (3rd Gen) - Smart speaker with Alexa - Plum,$34.99,"879,422"
24,Amazon Devices & Accessories,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),$9.99,"15,394"
25,Amazon Devices & Accessories,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life,…",$249.99,"57,965"
26,Amazon Devices & Accessories,Insignia NS-24DF310NA21 24-inch Smart HD 720p TV - Fire TV,$109.99,"11,349"
27,Amazon Devices & Accessories,Echo Dot (4th Gen) | Smart speaker with Alexa | Twilight Blue,$49.99,"299,626"
28,Amazon Devices & Accessories,"Echo Show 5 (1st Gen, 2019 release) -- Smart display with Alexa – stay connected with…",$79.99,"406,549"
29,Amazon Devices & Accessories,"All-new Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",$149.99,"9,326"
30,Amazon Devices & Accessories,"Fire HD 8 tablet, 8"" HD display, 32 GB, latest model (2020 release), designed for portable…",$89.99,"107,554"
31,Amazon Devices & Accessories,Certified Refurbished Fire TV Stick with Alexa Voice Remote (includes TV controls) | HD…,$29.99,"1,709"
32,Amazon Devices & Accessories,"INSIGNIA NS-50DF710NA21 50-inch Smart 4K UHD - Fire TV, Released 2020",$309.99,"6,090"
33,Amazon Devices & Accessories,"Certified Refurbished Fire TV Stick 4K with Alexa Voice Remote, streaming media player",$34.99,"15,105"
34,Amazon Devices & Accessories,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life,…",$179.99,"57,965"
35,Amazon Devices & Accessories,"Insignia NS-43DF710NA21 43-inch Smart 4K UHD - Fire TV, Released 2020",$239.99,"6,725"
36,Amazon Devices & Accessories,"Toshiba 32LF221U21 32-inch Smart HD 720p TV - Fire TV, Released 2020",$139.99,"18,604"
37,Amazon Devices & Accessories,"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, night vision,…",$64.99,"116,173"
38,Amazon Devices & Accessories,"Echo Glow - Multicolor smart lamp for kids, a Certified for Humans Device – Requires…",$19.99 - $30.98,"27,964"
39,Amazon Devices & Accessories,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, Pink Kid-Proof Case",$89.99,"87,478"
